,title,page_link,writer,script_link,script_downloaded
35,"Addams Family, The","https://imsdb.com/Movie%20Scripts/Addams%20Family,%20The%20Script.html","Written by Charles Addams,Caroline Thompson","https://imsdb.com/scripts/Addams-Family,-The.html",Yes
36,"Adjustment Bureau, The","https://imsdb.com/Movie%20Scripts/Adjustment%20Bureau,%20The%20Script.html","Written by George Nolfi,Philip K Dick","https://imsdb.com/scripts/Adjustment-Bureau,-The.html",Yes
37,"Adventures of Buckaroo Banzai Across the Eighth Dimension, The","https://imsdb.com/Movie%20Scripts/Adventures%20of%20Buckaroo%20Banzai%20Across%20the%20Eighth%20Dimension,%20The%20Script.html",Written by Earl Mac Rauch,"https://imsdb.com/scripts/Adventures-of-Buckaroo-Banzai-Across-the-Eighth-Dimension,-The.html",Yes
38,Affliction,https://imsdb.com/Movie%20Scripts/Affliction%20Script.html,"Written by Russell Banks,Paul Schrader",https://imsdb.com/scripts/Affliction.html,Yes
39,After School Special,https://imsdb.com/Movie%20Scripts/After%20School%20Special%20Script.html,Written by David H. Steinberg,https://imsdb.com/scripts/After-School-Special.html,Yes
40,After.Life,https://imsdb.com/Movie%20Scripts/After.Life%20Script.html,Written by Agnieszka Wojtowicz-Vosloo,https://imsdb.com/scripts/After.Life.html,Yes
41,Agnes of God,https://imsdb.com/Movie%20Scripts/Agnes%20of%20God%20Script.html,Written by John Pielmeier,https://imsdb.com/scripts/Agnes-of-God.html,Yes
42,Air Force One,https://imsdb.com/Movie%20Scripts/Air%20Force%20One%20Script.html,Written by Andrew W. Marlowe,https://imsdb.com/scripts/Air-Force-One.html,Yes
43,Airplane,https://imsdb.com/Movie%20Scripts/Airplane%20Script.html,"Written by Jim Abrahams, David Zucker,Jerry Zucker",https://imsdb.com/scripts/Airplane.html,Yes
44,Airplane 2: The Sequel,https://imsdb.com/Movie%20Scripts/Airplane%202:%20The%20Sequel%20Script.html,Written by Ken Finkleman,https://imsdb.com/scripts/Airplane-2-The-Sequel.html,Yes
45,Aladdin,https://imsdb.com/Movie%20Scripts/Aladdin%20Script.html,"Written by Roger Allers,Ron Clements",https://imsdb.com/scripts/Aladdin.html,Yes
46,Ali,https://imsdb.com/Movie%20Scripts/Ali%20Script.html,"Written by Stephen J Rivele,Christopher Wilkinson,Eric Roth,Michael Mann",https://imsdb.com/scripts/Ali.html,Yes
47,Alien,https://imsdb.com/Movie%20Scripts/Alien%20Script.html,"Written by Walter Hill,David Giler",https://imsdb.com/scripts/Alien.html,Yes
48,Alien 3,https://imsdb.com/Movie%20Scripts/Alien%203%20Script.html,Written by Rex Pickett,https://imsdb.com/scripts/Alien-3.html,Yes
49,Alien Nation,https://imsdb.com/Movie%20Scripts/Alien%20Nation%20Script.html,"Written by Rockne O'Bannon,James Cameron",https://imsdb.com/scripts/Alien-Nation.html,Yes
50,Alien vs. Predator,https://imsdb.com/Movie%20Scripts/Alien%20vs.%20Predator%20Script.html,Written by Peter Briggs,https://imsdb.com/scripts/Alien-vs.-Predator.html,Yes
51,Alien: Resurrection,https://imsdb.com/Movie%20Scripts/Alien:%20Resurrection%20Script.html,Written by Joss Whedon,https://imsdb.com/scripts/Alien-Resurrection.html,Yes
52,Aliens,https://imsdb.com/Movie%20Scripts/Aliens%20Script.html,Written by James Cameron,https://imsdb.com/scripts/Aliens.html,Yes
53,All About Eve,https://imsdb.com/Movie%20Scripts/All%20About%20Eve%20Script.html,Written by Joseph Mankiewicz,https://imsdb.com/scripts/All-About-Eve.html,Yes
54,All About Steve,https://imsdb.com/Movie%20Scripts/All%20About%20Steve%20Script.html,Written by Kim Barker,https://imsdb.com/scripts/All-About-Steve.html,Yes
55,All the King's Men,https://imsdb.com/Movie%20Scripts/All%20the%20King's%20Men%20Script.html,Written by Robert Rossen,https://imsdb.com/scripts/All-the-King's-Men.html,Yes
56,All the President's Men,https://imsdb.com/Movie%20Scripts/All%20the%20President's%20Men%20Script.html,Written by William Goldman,https://imsdb.com/scripts/All-the-President's-Men.html,Yes
57,Almost Famous,https://imsdb.com/Movie%20Scripts/Almost%20Famous%20Script.html,Written by Cameron Crowe,https://imsdb.com/scripts/Almost-Famous.html,Yes
58,Alone in the Dark,https://imsdb.com/Movie%20Scripts/Alone%20in%20the%20Dark%20Script.html,"Written by Elan Mastai,Michael Roesch",https://imsdb.com/scripts/Alone-in-the-Dark.html,Yes
59,Amadeus,https://imsdb.com/Movie%20Scripts/Amadeus%20Script.html,Written by Peter Shaffer,https://imsdb.com/scripts/Amadeus.html,Yes
60,Amelia,https://imsdb.com/Movie%20Scripts/Amelia%20Script.html,"Written by Ronald Bass,Anna Hamilton Phelan",https://imsdb.com/scripts/Amelia.html,Yes
61,American Beauty,https://imsdb.com/Movie%20Scripts/American%20Beauty%20Script.html,Written by Alan Ball,https://imsdb.com/scripts/American-Beauty.html,Yes
62,American Gangster,https://imsdb.com/Movie%20Scripts/American%20Gangster%20Script.html,"Written by Steven Zaillian,Mark Jacobson",https://imsdb.com/scripts/American-Gangster.html,Yes
63,American Graffiti,https://imsdb.com/Movie%20Scripts/American%20Graffiti%20Script.html,"Written by George Lucas,Gloria Katz,Willard Huyck",https://imsdb.com/scripts/American-Graffiti.html,Yes
64,American History X,https://imsdb.com/Movie%20Scripts/American%20History%20X%20Script.html,Written by David McKenna,https://imsdb.com/scripts/American-History-X.html,Yes
65,American Hustle,https://imsdb.com/Movie%20Scripts/American%20Hustle%20Script.html,"Written by Eric Warren Singer,David O. Russell",https://imsdb.com/scripts/American-Hustle.html,Yes
66,American Madness,https://imsdb.com/Movie%20Scripts/American%20Madness%20Script.html,Written by Robert Riskin,https://imsdb.com/scripts/American-Madness.html,Yes
67,American Milkshake,https://imsdb.com/Movie%20Scripts/American%20Milkshake%20Script.html,"Written by David Andalman,Mariko Munro",https://imsdb.com/scripts/American-Milkshake.html,Yes
68,American Outlaws,https://imsdb.com/Movie%20Scripts/American%20Outlaws%20Script.html,"Written by Roderick Taylor,John Rogers",https://imsdb.com/scripts/American-Outlaws.html,Yes
69,American Pie,https://imsdb.com/Movie%20Scripts/American%20Pie%20Script.html,Written by Adam Herz,https://imsdb.com/scripts/American-Pie.html,Yes
70,"American President, The","https://imsdb.com/Movie%20Scripts/American%20President,%20The%20Script.html",Written by Aaron Sorkin,"https://imsdb.com/scripts/American-President,-The.html",Yes
71,American Psycho,https://imsdb.com/Movie%20Scripts/American%20Psycho%20Script.html,Written by Matthew Markwalder,https://imsdb.com/scripts/American-Psycho.html,Yes
